Tiêu đề,Địa chỉ,Miêu tả,Ngày đăng,Ngày hết hạn,Giá,Diện tích,Hướng nhà,Hướng ban công,Số phòng,Vệ sinh,Mặt tiền,Chiều rộng mặt tiền,Số tầng,Tình trạng  pháp lý,Nội Thất Cao Cấp,Loại danh sách,ID danh sách
"Hiếm! Sát Hồ Đống Đa, Mặt Ngõ 3 Ô Tô Tránh Đỗ - Kinh Doanh Sầm Uất Ngày Đêm, Ngập Tràn Tiện Ích","Phố Xã Đàn, Phường Nam Đồng, Đống Đa, Hà Nội","* Nhà đẹp kinh doanh phố Xã Đàn, đi bộ vài bước ra mặt hồ Đống Đa lộng gió, nhộn nhịp ngày đêm. * Mặt ngõ trước nhà 3 ô tô tránh đỗ vô tư, thông nhiều tuyến phố lớn. Chủ đang kinh doanh tiệm Thuốc Tây, đông khách ra vào tấp nập. * Nhà chủ tự xây tâm huyết. Thiết kế các phòng thoáng sáng, ban công trồng cây xanh, tiểu cảnh mát mẻ. * Sổ đỏ chính chủ, chủ rất thiện chí bán. Kết nối chủ nhà em Thái: 0333 917 993. (Miễn trung gian).",07/11/2024,17/11/2024,"9,5 tỷ",38 m²,4 phòng,Sổ đỏ/ Sổ hồng,N/A,N/A,5 tầng,3 phòng,Cơ bản,N/A,N/A,Tin VIP Bạc,41455125
"Nhượng căn 2 ngủ 91.3m nguyên bản chưa chỉnh sửa, mới 100% dự án Green Diamond","Dự án Green Diamond 93 Láng Hạ, Phố Láng Hạ, Phường Láng Hạ, Đống Đa, Hà Nội","Cần bán 2 phòng ngủ diện tích 91,3m. - Tầng 6 ban công Tây Bắc. - Nội thất nguyên bản từ cđt bàn giao gồm trần thạch cao, điều hoà âm trần Daikin, thiết bị vệ sinh ToTo nhập khẩu, sàn gỗ Malaysia. - Giá bán 9,5 tỉ bao thuế phí. Xem nhà liên hệ  0852 962 ***",04/11/2024,15/11/2024,"9,5 tỷ","91,3 m²",N/A,N/A,N/A,N/A,Tây - Bắc,2 phòng,N/A,N/A,N/A,Tin thường,41425463
Nhà Trắng Hào Nam đẹp miên man sân chơi trước nhà thoáng sáng trong lành 47m2 4T chào 9.5 tỷ còn TL,"Phố Hào Nam, Phường Ô Chợ Dừa, Đống Đa, Hà Nội","Nhà dân xây chắc chắn nhưng ko kém phần thẩm mỹ. Tông trắng sang trọng, thiết kế hiện đại. Sân trước rộng rãi, không khí trong lành. Trung tâm thành phố, tiện ích quanh nhà. Dân trí hiền hoà, an ninh đảm bảo. Sổ đỏ chính chủ, muốn tìm chủ mới. Tin thật, ảnh thật nói không vs tin ảo. Liên hệ em Trung để tìm được căn nhà ưng ý nhất.",28/10/2024,27/11/2024,"9,5 tỷ",47 m²,4 tầng,Sổ đỏ/ Sổ hồng,N/A,N/A,31 m,3 m,Đầy đủ,N/A,N/A,Tin thường,41049426
"Bán CHCC Green Diamond - 93 Láng Hạ, Đống Đa, 2PN, 91,78m2, đồ cơ bản, giá đẹp. LH 0983 951 ***","Dự án Green Diamond 93 Láng Hạ, Phố Láng Hạ, Phường Láng Hạ, Đống Đa, Hà Nội","Cần bán căn hộ tại Phố Láng Hạ, Phường Láng Hạ, Đống Đa, Hà Nội với giá 9,5 tỷ VND. Căn hộ thuộc dự án Green Diamond 93 Láng Hạ, có diện tích 91.78 m² và pháp lý Hợp đồng mua bán. Đặc điểm nổi bật. * Pháp lý Hợp đồng mua bán, đảm bảo an toàn cho người mua. Căn hộ có đầy đủ giấy tờ hợp lệ. * Nội thất cơ bản, dễ dàng trang trí theo phong cách riêng. Không gian sống thoải mái và tiện nghi. * Hướng cửa chính Đông Nam, mang lại ánh sáng tự nhiên và không khí trong lành cho căn hộ. * Hướng ban công Tây Bắc, lý tưởng để thư giãn và ngắm cảnh vào buổi chiều. * Giá 9,5 tỷ VND, phù hợp với chất lượng và vị trí của căn hộ. * Diện tích 91.78 m², đủ rộng rãi cho gia đình nhỏ hoặc cặp đôi. * Căn hộ có 2 phòng ngủ và 2 toilet, thuận tiện cho sinh hoạt hàng ngày. Liên hệ ngay với  0983 951 ***  Đức Nam để biết thêm chi tiết và đặt lịch xem căn hộ.",04/11/2024,14/11/2024,"9,5 tỷ","91,78 m²",2 phòng,2 phòng,Cơ bản,N/A,Đông - Nam,Tây - Bắc,Hợp đồng mua bán,N/A,N/A,Tin thường,41316038
Tìm đâu ra! Hồ Linh quang ô tô nhỏ đỗ cửa mặt ngõ thông tứ tung giá siêu rẻ 32m x 5 tầng cạnh hồ,"Đường Hồ Văn Chương, Phường Văn Chương, Quận Đống Đa, Hà Nội","CỦA HIẾM - MẶT NGÕ THÔNG 3 Ô TÔ - KINH DOANH - CẠNH HỒ LINH QUANG  + Vị trí đẹp miễn bàn, nằm trên mặt ngõ thẳng tắp 3 ô tô, cạnh Hồ Linh Quang chỉ 20m, thông khắp nơi Tôn Đức Thắng, Quốc Tử Giám, Nguyễn Khuyến, Ngô Sỹ Liên, Trần Quý Cáp... Chỉ 2 phút là vào Phố Cổ.  + Diện tích : 30m x 5 tầng thông sàn, 3 phòng ngủ, kinh doanh tầng 1 rất thuận tiện. + Sổ đỏ vuông vắn, cất két, giao dịch phút mốt. -LH : ngay em Lưu  0915 295 ***",10/11/2024,20/11/2024,"9,5 tỷ",30 m²,5 tầng,4 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,4 m,5 m,4 phòng,N/A,N/A,Tin thường,41486282
"Lô góc Hào Nam ở cực thoáng, sân vườn vườn tiểu cảnh, ngõ nông gần ô tô, KCBT về lên thêm tầng","Phố Hào Nam, Phường Ô Chợ Dừa, Đống Đa, Hà Nội","Nhà ngõ nông gần Hào Nam - Hoàng Cầu. Sân vườn trước nhà, không gian thoáng đãng. Lô góc nhiều ánh sáng vào nhà, trước nhà rộng 3m. Dân xây KCBT chắc chắn, lên thêm tầng nếu muốn. Nhà dt rộng 62/65m² bài trí theo ý thoải mái. Nhà cách ô tô tránh rất gần, có thể kinh doanh nhỏ, online. Ngõ thông Đê La Thành, di chuyển thuận tiện. Pháp lý chuẩn giao dịch ngay, chào 9.5 tỷ còn TL. Nói k vs tin ảo, nhu cầu tìm nhà liên hệ em Trung để tìm được căn nhà ưng ý nhất.",28/10/2024,28/11/2024,"9,5 tỷ",62 m²,3 phòng,2 phòng,Không nội thất,N/A,4 m,3 tầng,Sổ đỏ/ Sổ hồng,N/A,N/A,Tin thường,41350488
1 căn hiếm có - Văn Chương - Tôn Đức Thắng - 5 tầng - ô tô vào nhà - kinh doanh vô địch,"Văn Chương, Phố Tôn Đức Thắng, Phường Hàng Bột, Đống Đa, Hà Nội","Nhà lõi Đống Đa - 5 tầng - ô tô vào nhà - kinh doanh vô địch. Nhà góc thoáng sáng, không gian thoáng đãng cực sáng. Khu vực trung tâm quận Đống Đa - Ngõ Văn Chương, đông vui sầm uất, tiềm năng phát triển vượt bậc. Gần Trường, gần Chợ, không gian lý tưởng để mở văn phòng công ty, cửa hàng hoặc cho thuê dài hạn dòng tiền ổn định. Hãy để giấc mơ ngôi nhà ngập tràn tiện ích, ở sướng thoáng đãng, kinh doanh sinh lời của bạn bắt đầu từ đây, nơi mang đến giá trị tức thì và mãi mãi cho tương lai ổn định. Liên hệ  0942 982 ***  để gặp chính chủ xem căn nhà giàu tiềm năng của bạn.",04/11/2024,14/11/2024,"9,5 tỷ",35 m²,5 tầng,Sổ đỏ/ Sổ hồng,N/A,N/A,"3,8 m",5 m,N/A,N/A,N/A,Tin thường,41416973
CHUNG CƯ CAO CẤP 187 NGUYỄN LƯƠNG BẰNG - 3 NGỦ - 2 VỆ SINH - CĂN GÓC - HỒ ĐẮC DI,"183 Nguyễn Lương Bằng, Đường Nguyễn Lương Bằng, Phường Nam Đồng, Đống Đa, Hà Nội","CHUNG CƯ CAO CẤP 187 NGUYỄN LƯƠNG BẰNG - 3 NGỦ - 2 VỆ SINH - CĂN GÓC - HỒ ĐẮC DI  0329 533 *** Mô tả:, - Nhà thiết kế gốc 3 ngủ và 2 vệ sinh, hiện tại đã thiết kế lại 2 ngủ và 2 vệ sinh ( chủ mới về thiết kế lại theo mục đích ở), - Nội thất rất xịn chủ để lại các đồ trên tường. - Nhà lô góc tầng 15 cực thoáng, cửa chính đông bắc ban công hướng tây nam. GIÁ 9,X TỈ",09/11/2024,19/11/2024,"9,5 tỷ",124 m²,3 phòng,2 phòng,N/A,N/A,Tây - Bắc,Tây - Nam,Sổ đỏ/ Sổ hồng,N/A,N/A,Tin thường,41480351
Thịnh Quang - Ngã Tư Sở - 50m x 5T x Lô góc MT 15m - Mở full cửa - 30m ra ô tô - giá đầu tư 9.5 tỷ.,"Đường Thịnh Quang, Phường Thịnh Quang, Đống Đa, Hà Nội","Thịnh Quang - Ngã Tư Sở - Đống Đa. Diện tích 50m² xây 5 tầng. Lô góc mặt tiền 15m mở full cửa. Nhà 5 tầng thiết kế cơ bản - Mỗi tầng 2 phòng rộng thoáng - Móng bè lên tầng thoải mái. Vị tri đẹp - Lô góc 2 mặt Ngõ 3m rộng - Ngõ nông cách ô tô chỉ 50m - Ra phố chỉ 100m - QH đường sát phố. Hàng xóm ĐH Thuỷ Lợi, Ngân Hàng... Tiện ích chẳng thiếu gì. Phù hợp khách mua ở - Xây CCMN đuổi không hết khách. Giá chỉ 9.5 tỷ có thương lượng. Sổ đẹp nở hậu. Liên hệ xem nhà  0938 010 ***  - Đặng Quân.",09/11/2024,19/11/2024,"9,5 tỷ",50 m²,5 tầng,4 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,5 m,4 m,4 phòng,N/A,N/A,Tin thường,41480220
Bán nhà Linh Quang - mặt ngõ - ô tô qua - 20m ra hồ - kinh doanh,"Phường Văn Chương, Đống Đa, Hà Nội","- DT: 28.1m², Mt 3.1m. Nhà xây 5 tầng thông sàn, 3 phòng ngủ. - Vị trí đẹp, nhà nằm mặt ngõ thông, thẳng tắp. 20m ra mặt hồ Linh Quang. Vị trí thuận tiện thông nhiều đường, Tôn Đức Thắng, Khâm Thiên, - Khu vực sầm uất, kinh doanh tấp nập. - Sổ đỏ chính chủ. - Không quy hoạch. - Giá: 9.5 tỷ.",08/11/2024,18/11/2024,"9,5 tỷ","28,1 m²",3 phòng,4 phòng,N/A,N/A,"3,1 m",5 tầng,Sổ đỏ/ Sổ hồng,N/A,N/A,Tin thường,41469677
Mặt ngõ Đống Đa - ngõ to hơn phố - 70m giá 9.5 tỷ - oto đỗ ngày đêm - kd sầm uất,"Phố Tôn Đức Thắng, Phường Quốc Tử Giám, Đống Đa, Hà Nội","- Khu vực trung tâm Đống Đa, mặt ngõ cực rộng 3 oto tránh nhau, gần trục phố chính Tôn Đức Thắng, Xã Đàn, Lê Duẩn,... - Nhà dân xây chắc chắn, đủ công năng, lên thêm tầng thoải mái - Vị trí đẹp, diện tích rộng, oto đỗ trước cửa ngày đêm, kinh doanh hay cho thuê đều ra tiền - Sổ đỏ chính chủ",09/11/2024,19/11/2024,"9,5 tỷ",70 m²,2 phòng,Sổ đỏ/ Sổ hồng,N/A,N/A,3 tầng,2 phòng,Cơ bản,N/A,N/A,Tin thường,41478606
"Bán nhà cách mặt hồ Linh Quang 20m, mặt ngõ 3 ô tô tránh nhau, 30m2 x 5T, giá chỉ 9,5tỷ","Phường Văn Chương, Đống Đa, Hà Nội","Cạnh Hồ Linh Quang - mặt ngõ 3 ô tô - kinh doanh - ở cực sướng. + Nhà nằm trên mặt ngõ thẳng tắp 3 ô tô, cạnh Hồ Linh Quang chỉ 20m, thông khắp nơi Tôn Đức Thắng, Quốc Tử Giám, Nguyễn Khuyến, Ngô Sỹ Liên, Trần Quý Cáp... Chỉ 2 phút là vào Phố Cổ. + Diện tích: 30m² x 5 tầng, 3 phòng ngủ, kinh doanh tầng 1 rất thuận tiện. Bán kính 500m đầy đủ bệnh viện, chợ, trường mầm non, tiểu học, trung học... + Sổ đỏ chính chủ - LH:  0941 116 ***  nói không với tin ảo BĐS.",09/11/2024,19/11/2024,"9,5 tỷ",30 m²,4 phòng,Sổ đỏ/ Sổ hồng,N/A,N/A,5 tầng,3 phòng,Cơ bản,N/A,N/A,Tin thường,41159399
"9,5 tỷ Khâm Thiên gần Xã Đàn quận Đống Đa 52 m x 6 tầng, thang máy,xây mới hiện đại,đẹp,sổ nở hậu","Phố Khâm Thiên, Phường Khâm Thiên, Đống Đa, Hà Nội","Căn nhà xây mới cứng - 6 tầng thang máy, toạ lạc tại khu vực sầm uất - 60 m ra mặt chợ - sổ nở hậu - giá rất hợp lý. MÔ TẢ: - Ngõ chợ sầm uất trung tâm khu Đống Đa, tiện ích không thiếu thứ gì. - Ngõ ngắn, Chỉ 60 mét ra mặt chợ kinh doanh vô vàn tiện ích. - Nhà xây mới cứng, thiết kế vô cùng hợp lý, phòng nào cũng đảm bảo đầy đủ ánh sáng tự nhiên, khách mua bóc tem về ở ngay. - Chủ kỹ tính trong việc thiết kế, lựa chọn vật liệu xây dựng, như tỉ mỉ chọn từng viên gạch, thiết bị vệ sinh... Nên khách hàng hoàn toàn yên tâm về chất lượng công trình. Thiết kế: Thang máy + thang bộ. - Tầng 1: Sân để xe, phòng khách, bếp, VS, khu tiểu cảnh. - Tầng 2,3: Mỗi tầng 1 phòng rộng khép kín. - Tầng 4,5: Mỗi tầng 2 phòng, VS giữa. - Tầng 6: Phòng sinh hoạt chung, sân phơi. Sổ đỏ chính chủ, nở hậu, sẵn sàng giao dịch. Liên hệ: Bảo Ngọc.",01/11/2024,16/11/2024,"9,5 tỷ",52 m²,6 phòng,5 phòng,Cơ bản,N/A,4 m,6 tầng,Sổ đỏ/ Sổ hồng,N/A,N/A,Tin thường,41389604
"Thật 100% bán nhà riêng phố Trung Phụng Đống Đa - sổ đẹp không lỗi 78m2 x 4T - MT 9m, chỉ 9,5 tỷ","Đường Trung Phụng, Phường Trung Phụng, Đống Đa, Hà Nội","Thật 100% bán nhà riêng phố Trung Phụng Đống Đa sổ đẹp - không lỗi phong thủy - 78m² x 4t, mt 9m, chỉ 9,5 tỷ. + Chủ nhà nhiều tuổi, bán nhà chia cho các con. + Nhà gần mặt phố, trước nhà ngõ bagac đỗ cửa thoải mái. Chủ tự xây nên rất tâm huyết, ở sướng. + Thiết kết 4 tầng, nhiều phòng ngủ, đủ công năng sử dụng cho gia đình đông người. * Sổ đỏ chính chủ, cất két, sẵn sàng giao dịch ngay. * Giá bán 9,6 tỷ. * Cam kết thông tin và hình ảnh nhà chính xác 100%. * Liên hệ xem nhà thực tế: Phạm Tuấn ĐT/Zalo:  0934 511 *** . Email:  Phamtuanbdshanoi@gmail.com",05/11/2024,16/11/2024,"9,5 tỷ",78 m²,4 tầng,5 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,9 m,3 m,5 phòng,N/A,N/A,Tin thường,41436981
"Bán căn hộ cao cấp Green Diamond 93 Láng Hạ, vị trí vàng Phố Tài chính, DT 95m2, 2PN, 2WC.","Green Diamond 93 Láng Hạ, 93, Phố Láng Hạ, Phường Láng Hạ, Đống Đa, Hà Nội.","- Greed Diamond 93 Láng Hạ. - Bán căn hộ cao cấp top bậc nhất quận Đống Đa. Diện tích: 95m², 2PN, 2WC. - Tầm view cao cực đỉnh bao trọn thành phố. Sổ đỏ chính chủ. Liên hệ em Bằng:  0971 099 ***",07/11/2024,22/11/2024,"9,5 tỷ",95 m²,Sổ đỏ/ Sổ hồng,Đầy đủ,N/A,N/A,2 phòng,2 phòng,N/A,N/A,N/A,Tin thường,41242797
"Bán nhà riêng đường Cầu Giấy, gấp gấp 9,5 tỷ, 40m2, 3PN, 3PT","Đường Cầu Giấy, Phường Quan Hoa, Cầu Giấy, Hà Nội","Nằm tại Đường Cầu Giấy, Phường Quan Hoa, Cầu Giấy, Hà Nội, căn nhà riêng này là lựa chọn lý tưởng cho những ai đang tìm kiếm không gian sống tiện nghi và hiện đại. Với diện tích 40m², căn nhà được thiết kế thông minh, tối ưu hóa công năng sử dụng. - 3 PN và 3 PT, phù hợp cho gia đình lớn hoặc nhóm bạn. - Nội thất đầy đủ với điều hòa, tủ lạnh, giường... Mang đến sự thoải mái ngay khi vào ở. - Ngõ vào rộng 5m, thuận tiện cho việc di chuyển bằng xe hơi. - Mặt tiền 4m, lý tưởng cho việc kinh doanh hoặc cho thuê. - Pháp lý đầy đủ, sổ đỏ/ sổ hồng. - Phong thủy tốt, mang lại nhiều tài lộc cho gia chủ. Liên hệ ngay để được tư vấn miễn phí: Lê Văn Huy  0776 405 ***",10/11/2024,17/11/2024,"9,5 tỷ",40 m²,4 tầng,3 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,4 m,5 m,3 phòng,N/A,N/A,Tin VIP Bạc,41484171
Bán gấp CHCC Watermark - 395 Lạc Long Quân 120m2 2PN full đồ view Hồ Tây giá 9.5 tỷ (có gia lộc),"Watermark Tây Hồ, 395, Đường Lạc Long Quân, Phường Nghĩa Đô, Cầu Giấy, Hà Nội","Bán Tôi cần bán gấp căn hộ siêu đẹp. Căn hộ chung cư cao cấp Watermark tại 395 Lạc Long Quân. View hồ Tây. Vị trí vàng, tòa đẹp, hiện đại, sang trọng. Dịch vụ chuyên nghiệp, được miễn phí các tiện tích sau: Phòng tập gym, ghế massage, khu vui chơi trẻ em, nhà bóng, cầu trượt, bể bơi trẻ em, bể bơi người lớn. Căn hộ có diện tích 120m, thiết kế 2PN 2VS, ban công siêu rộng view hồ Tây. Tặng full nội thất nhập khẩu xịn, khách mua chỉ việc đem quần áo đến ở... Giá bán 9.5 tỷ có gia lộc cho khách thiện chí mua. Phí dịch vụ: 15.5k/m²/th đã bao gồm gym, bể bơi,... LH  0978 723 ***  để xem nhà.",05/11/2024,15/11/2024,"9,5 tỷ",120 m²,Sổ đỏ/ Sổ hồng,Đầy đủ,N/A,N/A,2 phòng,2 phòng,N/A,N/A,N/A,Tin VIP Bạc,40020031
"Cầu Giấy 50m2 - nhà đẹp dân xây, gần phố, ô tô vào cách một nhà, an ninh tốt, ở sướng. Hơn 9 tỷ","Đường Dương Quảng Hàm, Phường Quan Hoa, Cầu Giấy, Hà Nội","Cầu Giấy - nhà đẹp dân xây, gần phố nguyễn khánh toàn, ô tô vào cách một nhà, ngõ trước nhà 3m, hàng xóm quan chức về hưu, an ninh tốt, ở sướng. Hơn 9 tỷ. + Nhà thông số đẹp, vừa tầm tiền, khu vực trung tâm quận Cầu Giấy. + Nhà chủ tự mua đất và xây nên cực kiên cố và chắc chắn. + Thiết kế: 4 tầng. Tầng 1: Khách, bếp, vs. Tầng 2,3: Mỗi tầng 2 phòng, vs. Tầng 4: Phòng thờ, sân phơi. + Các phòng trước sau đều rất thoáng vì phía bên trong chủ nhà có để giếng trời 2m² từ trên xuống. + Đường trước nhà 3m, có quy hoạch mở đường rất lớn sau này nhà mình sẽ cách 1 nhà ra phố. Liên hệ trực tiếp E Huyền  0357 821 *** zalo) để xem nhà (Miễn trung gian).",08/11/2024,18/11/2024,"9,5 tỷ",50 m²,4 tầng,4 phòng,Sổ đỏ/ Sổ hồng,N/A,"3,6 m",3 m,3 phòng,N/A,N/A,Tin thường,41212226
"Sổ hình con cu mua thành triệu phú. Mảnh đất vàng xây ccmn, mang túi 3 gang mang đi đựng tiền.","Phố Khâm Thiên, Phường Trung Phụng, Đống Đa, Hà Nội","Nhà ngõ Chợ Khâm Thiên khu rất đông dân cư Gần trường học, chợ búa nhiều lúa để gặt 3 gác vào nhà, di chuyển thuận tiện Ngõ đi nhiều hướng Xã Đàn - Trung Phụng - Khâm Thiên - Ô Đồng Lầm.. Mt 10m rộng rãi thiết kế, đang để trống 17,5 m² làm sân vườn tiểu cảnh Nhà 4 tầng cũ mua về xây ccmn thì hết ý Giá quá hợp lý, sổ đỏ chính chủ Liên hệ ngay xem căn nhà in ra tiền cho chủ này Nói k vs tin ảo, nhu cầu tìm nhà liên hệ để tìm được căn nhà ưng ý nhất",10/11/2024,10/12/2024,"9,6 tỷ",78 m²,4 tầng,4 phòng,Sổ đỏ/ Sổ hồng,N/A,10 m,25 m,3 phòng,N/A,N/A,Tin thường,41483964
Bán nhà Chùa Láng(Đống Đa) - DT 48m2 - 9.6 tỷ(có bớt) - Ngõ thông 3gác tránh,"Phố Chùa Láng, Phường Láng Thượng, Đống Đa, Hà Nội","Nhà đẹp dân xây - BTCT chắc chắn - ngõ thông rộng 3 gác phi. - Vị trí đẹp, TT Đống Đa, Nhà ra chợ vài bước chân, gần trường học các cấp, cviên, bviện, siêu thị,... Bạt ngàn tiện ích, hàng xóm văn minh, an ninh tốt. - Thiết kế 3 tầng: 3 ngủ, 3 wc, thờ, phơi. Sổ đỏ chính chủ, ss giao dịch. ----------------------------- Miễn phí xem nhà, hỗ trợ 24/24. LH E Duy:  0392 149 ***",09/11/2024,19/11/2024,"9,6 tỷ",48 m²,Đông - Nam,3 tầng,3 phòng,Sổ đỏ/ Sổ hồng,"3,5 m","2,5 m",3 phòng,Đầy đủ,N/A,Tin thường,41186073
Bán đất có sẵn nhà cũ 3 tầng ngõ ô tô tránh Tôn Đức Thắng Đống Đa,"Phố Tôn Đức Thắng, Phường Hàng Bột, Đống Đa, Hà Nội","Bán đất có sãn nhà cũ 3 tầng Tôn Đức Thắng. Diện tích 35m². Hiện trạng bán đất có sãn nhà cũ 3 tầng. Vị trí cách phố Tôn Đức Thắng khoảng 50m, khu vực đông đúc gần bệnh viện trường học. Ngõ ô tô tránh kinh doanh nhiều... Sổ đỏ sẵn sàng giao dịch.",09/11/2024,19/11/2024,"9,6 tỷ",35 m²,Sổ đỏ/ Sổ hồng,N/A,N/A,N/A,"3,5 m",5 m,N/A,N/A,N/A,Tin thường,41222890
"Căn góc 3T vị trí đẹp Mp Kim Hoa DT 35,8m MT 3,15m vỉa hè rộng KD sầm uất giá 9,6 tỷ","Phố Kim Hoa, Phường Phương Liên, Đống Đa, Hà Nội","- Bán nhà 3 tầng căn góc mặt phố Kim Hoa - Xã Đàn. + Vị trí đẹp phố kinh doanh buôn bán sầm uất ngày đêm. Phù hợp ai mua ở ngập tràn tiện ích xung quanh hoặc cho thuê dòng tiền. + Quy hoạch ổn định, pháp lý sạch. - DT sổ đỏ 35,8m, DTXD 40m, MT 3,15m nở hậu, hai mặt thoáng. Ko lỗi phong thuỷ. + Nhà một chủ ở từ đầu, tính rất cẩn thận tỷ mỉ nên xây khung cột bê tông kiên cố rất chắc chắn. Lên thêm tầng thoải mái. + Thiết kế và bố trí hài hoà hợp lý. Thang bộ giữa mỗi tầng 2PN và 1VS. Tổng có 3PN và 3VS. - Vị trí trung tâm đắc địa, rất thuận tiện đi lại. - Khu dân trí cao, an ninh rất tốt, khu đáng sống nhất, lõi quận Đống Đa. - Nay gia chủ về già sang ở với con nên thiện chí bán căn nhà với mức giá đưa ra là 9,6 tỷ có thương lượng, SĐCC. - LH: E. Tùng  0986 931 *** để được xem nhà và được hỗ trợ tư vấn mua bán BĐS tốt nhất).",08/11/2024,18/11/2024,"9,6 tỷ","35,8 m²",3 tầng,3 phòng,Sổ đỏ/ Sổ hồng,Cơ bản,"3,15 m",5 m,3 phòng,N/A,N/A,Tin thường,41359449
"Bán mặt phố Đê La Thành. 54m 4 tầng, mặt tiền 4,1 giá 9,6 tỷ. Vị trí đẹp. Kinh doanh đỉnh","Đường Đê La Thành, Phường Ô Chợ Dừa, Đống Đa, Hà Nội","Bán mặt phố Đê La Thành. 54m 4 tầng, mặt tiền 4,1 giá 9,6 tỷ. Vị trí đẹp. Kinh doanh đỉnh. - Chủ nhà xác định bán đất, khách mới có tiền về xây 7 tầng thang máy kinh doanh đỉnh hết nước chấm. - Mặt phố Đê La Thành gần bệnh viện Phụ sản, con phố kinh doanh đồ gỗ lớn nhất thủ đô, gần nút giao Cầu Giấy - Kim Mã, nơi đây đang quy hoạch mở đường Hoàn Cầu - Voi Phục, ngay phía sau nhà mình. Tầng 1: Hầm, bếp, để xe, kho. Tầng 2: Cửa hàng. Tầng 3: 2 phòng ngủ. Tầng 4: Phòng thờ và sân phơi. Pháp lý: Sổ đỏ vuông đẹp sẵn sàng giao dịch.",07/11/2024,18/11/2024,"9,6 tỷ",54 m²,Đông - Bắc,Đông - Bắc,2 phòng,2 phòng,"4,1 m",10 m,4 tầng,Sổ đỏ/ Sổ hồng,Đầy đủ,Tin thường,41463750
"Bán mặt phố Đê La Thành. 54m 4 tầng, mặt tiền 4,1 giá 9,6 tỷ. Vị trí đẹp. Kinh doanh đỉnh","Đường La Thành, Phường Trung Phụng, Đống Đa, Hà Nội","Bán mặt phố Đê La Thành. 54m 4 tầng, mặt tiền 4,1 giá 9,6 tỷ. Vị trí đẹp. Kinh doanh đỉnh. - Chủ nhà xác định bán đất, khách mới có tiền về xây 7 tầng thang máy kinh doanh đỉnh hết nước chấm. - Mặt phố Đê La Thành gần bệnh viện Phụ sản, con phố kinh doanh đồ gỗ lớn nhất thủ đô, gần nút giao Cầu Giấy - Kim Mã, nơi đây đang quy hoạch mở đường Hoàn Cầu - Voi Phục, ngay phía sau nhà mình. Tầng 1: Hầm, bếp, để xe, kho. Tầng 2: Cửa hàng. Tầng 3: 2 phòng ngủ. Tầng 4: Phòng thờ và sân phơi. Pháp lý: Sổ đỏ vuông đẹp sẵn sàng giao dịch. Liên hệ em Nhung:  0967 462 ***  để đi xem nhà miễn phí.",07/11/2024,18/11/2024,"9,6 tỷ",54 m²,Đông - Bắc,Đông - Bắc,2 phòng,2 phòng,"4,1 m",10 m,4 tầng,Sổ đỏ/ Sổ hồng,Đầy đủ,Tin thường,41463633
"Bán nhà gấp Cầu Giấy: 50m2 * 5 tầng, 6 ngủ, ô tô, lô góc, kinh doanh, vuông đẹp - 9.6 tỷ","Cầu Giấy, Dịch Vọng, Cầu Giấy, Hà Nội","Bán nhà gấp cầu giấy: 50m² * 5 tầng, 6 ngủ, ô tô, lô góc, kinh doanh, nhà vuông đẹp - 9.6 tỷ. - Vị trí vip Cầu Giấy sống sướng ít nhà bán, nhà gần Công viên, Chợ, nhiều Phố, nhiều trường ĐH, nhà Lô góc vừa ở vừa cho thuê KD. - Gần ga Metro. - DT 50m². - Sỏ đỏ sẵn sàng giao dịch, gia chủ lớn tuổi nhiều nhà, thiện chí bán, giá quá hời so với thị trường. Liên hệ: E Hiền  0702 537 ***",09/11/2024,16/11/2024,"9,6 tỷ",50 m²,5 tầng,6 phòng,Sổ đỏ/ Sổ hồng,N/A,4 m,4 m,4 phòng,N/A,N/A,Tin VIP Bạc,41481806
Bán nhà riêng gần phố 44 m2 chính chủ tại Cầu Giấy Hà Nội 9.6 tỷ,"Đường Cầu Giấy, Phường Dịch Vọng, Cầu Giấy, Hà Nội","+ Nhà có vị tí đẹp trung tâm Quận Cầu Giấy, ngõ nông, gần ô tô, vài bước do bộ ra phố gần trường học, công viên, đại học, TTTM mua sắm,.. Đi lại thuận lợi, tiện ích ngập tràn. + Nhà đẹp dân xây thiết kế chắc chắn, hiện đại, PUL nội thất đẹp như ảnh 5 tầng 6 PN công năng tiện nghi, rất phù hợp hộ gia đình ở, KD, cho thuê. + Khu vực vàng, vượng khí tốt, giá phù hợp, liên hệ để có TT chi tiết và xem nhà. 0985 780 ***",06/11/2024,13/11/2024,"9,6 tỷ",44 m²,Sổ đỏ/ Sổ hồng,Cơ bản,N/A,N/A,5 tầng,6 phòng,N/A,N/A,N/A,Tin VIP Bạc,40364379
